cell_name	type	Tumor
MGH45_P4_F05	T	T
MGH45_P4_H09	T	T
MGH45_P7_E11	T	T
MGH45_P1_G03	T	T
MGH45_P1_B07	T	T
MGH45_P7_C09	T	T
MGH45_P7_H04	T	T
MGH45_P8_G11	T	T
MGH45_P1_G10	T	T
MGH64_P15_D05	T	T
MGH45_P1_B09	oligodendrocytes	45
MGH43_P10_A01	oligodendrocytes	43
MGH43_P11_D07	oligodendrocytes	43
MGH45_P1_A02	oligodendrocytes	45
MGH45_P1_C06	oligodendrocytes	45
MGH43_P10_B02	oligodendrocytes	43
MGH43_P10_G09	oligodendrocytes	43
MGH61_P20_E07	oligodendrocytes	61
MGH45_P8_A08	oligodendrocytes	45
MGH45_P8_C01	oligodendrocytes	45
MGH61_P20_C01	oligodendrocytes	61
MGH61_P20_H06	oligodendrocytes	61
MGH64_P10_D05	oligodendrocytes	64
MGH44_P3_H10	oligodendrocytes	44
MGH45_P7_B04	oligodendrocytes	45
MGH43_P9_G10	oligodendrocytes	43
MGH43_P9_H05	oligodendrocytes	43
MGH43_P3_D11	oligodendrocytes	43
MGH45_P12_F06	oligodendrocytes	45
MGH43_P10_D02	oligodendrocytes	43
MGH64_P10_F06	oligodendrocytes	64
MGH43_P10_F09	oligodendrocytes	43
MGH43_P4_H04	oligodendrocytes	43
MGH43_P9_C01	oligodendrocytes	43
MGH43_P3_C02	oligodendrocytes	43
MGH45_P12_B03	oligodendrocytes	45
MGH44_P3_B04	oligodendrocytes	44
MGH43_P11_G11	oligodendrocytes	43
MGH43_P10_G05	oligodendrocytes	43
MGH43_P9_H07	oligodendrocytes	43
MGH45_P4_C01	oligodendrocytes	45
MGH45_P1_B03	oligodendrocytes	45
MGH43_P8_A12	oligodendrocytes	43
MGH45_P5_A12	oligodendrocytes	45
MGH43_P11_H03	oligodendrocytes	43
MGH43_P9_A08	oligodendrocytes	43
MGH43_P9_G11	oligodendrocytes	43
MGH43_P9_D11	oligodendrocytes	43
MGH43_P4_C10	oligodendrocytes	43
MGH64-P16-B11	oligodendrocytes	64
MGH56_P13_H08	oligodendrocytes	56
MGH43_P10_B03	oligodendrocytes	43
MGH43_P4_A01	oligodendrocytes	43
MGH43_P11_G10	oligodendrocytes	43
MGH43_P6_A04	oligodendrocytes	43
MGH43_P11_E04	oligodendrocytes	43
MGH45_P4_F10	oligodendrocytes	45
MGH45_P4_E06	oligodendrocytes	45
MGH43_P9_E09	oligodendrocytes	43
MGH43_P10_H06	oligodendrocytes	43
MGH45_P5_E08	oligodendrocytes	45
MGH43_P8_D02	oligodendrocytes	43
MGH45_P5_D02	oligodendrocytes	45
MGH43_P10_F02	oligodendrocytes	43
MGH43_P3_A12	oligodendrocytes	43
MGH43_P4_H07	oligodendrocytes	43
MGH43_P9_A11	oligodendrocytes	43
MGH45_P11_B10	oligodendrocytes	45
MGH45_P8_F12	oligodendrocytes	45
MGH45_P11_F05	oligodendrocytes	45
MGH45_P8_C03	oligodendrocytes	45
MGH43_P11_C01	oligodendrocytes	43
MGH45_P8_B10	oligodendrocytes	45
MGH43_P9_D04	oligodendrocytes	43
MGH56_P2_D08	oligodendrocytes	56
MGH64_P4_H09	oligodendrocytes	64
MGH64_P5_A03	oligodendrocytes	64
MGH64-P16-E01	oligodendrocytes	64
MGH56_P15_H07	oligodendrocytes	56
MGH64_P10_H07	oligodendrocytes	64
MGH64_P12_C12	oligodendrocytes	64
MGH64_P4_H04	oligodendrocytes	64
MGH64-P16-E05	oligodendrocytes	64
MGH64-P16-H04	oligodendrocytes	64
MGH44_P3_H05	oligodendrocytes	44
MGH44_P3_H08	oligodendrocytes	44
MGH64-P16-B05	oligodendrocytes	64
MGH64-P16-E04	oligodendrocytes	64
